[[ 976,    0,    0,    0,    0,    1,    2,    0,    1,    0],
 [   1, 1134,    2,    0,    0,    0,    2,    2,    2,    0],
 [   0,    0, 1028,    1,    1,    0,    0,    4,    1,    0],
 [   0,    1,    0, 1005,    0,    4,    1,    0,    4,    0],
 [   0,    0,    0,    0,  978,    0,    1,    0,    0,    6],
 [   0,    0,    0,    3,    0,  886,    1,    0,    1,    3],
 [   1,    0,    0,    0,    0,    1,  950,    0,    0,    0],
 [   1,    0,    2,    0,    0,    0,    0, 1019,    2,    2],
 [   1,    0,    0,    1,    0,    0,    1,    1,  961,    0],
 [   0,    0,    0,    0,    3,    0,    0,    2,    2,  998]],
